,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
har_m,-0.35806989387251015,-0.34948724094888756,-0.366684591710933,-0.3592482170677756,0.11412820158618277,-0.03348581777359171,-0.3433046843211308,-0.3100480639982483,-0.0020120584513035776,-0.22233778328893444,-0.1486345828092115,-0.043769929811479154,-0.08732614115532102,0.7072534670807838,0.0643288918815711,0.8465935943637111,0.5756030439625527,0.9208387182371468,0.34095656727356594,0.6261523887295846,1.0,0.482099506996779,0.34095656727356594,-0.028355725958562478,0.5795175483100963,0.8823210097549621,-0.06537702094723132,0.16734350483608243,-0.04539949009289024,-0.007053423261884664,-0.009837201262837419,-0.0016112474315381788,0.03887302726620214,0.010363484163221885,0.011041856506129601,-0.04945261033275651,0.01947782544305405,0.47830782556192936,-0.06052722572487834,0.05862266950245472,0.037254153228279616,-0.052062859919195084,0.039836127238801144
rv_park5,-0.23102708394455984,-0.21901263314912964,-0.24379905992613107,-0.22951536478346543,0.18648958760623827,-0.025504617757982323,-0.20548737899557545,-0.18416678994224148,0.004585929557399732,-0.27770599168219495,-0.1355140997457987,-0.04582385414768418,-0.13563658022045177,0.40509477514823305,-0.20037686696220353,0.60309989414996,0.6943578064965288,0.5136246798379551,0.5004175135460681,0.7747995697729269,0.482099506996779,1.0,0.5004175135460681,-0.00279142464381138,0.697205819468465,0.4948261348688932,-0.07571529306604033,0.08746832901534002,0.016285396766459997,-0.010141166737060251,-0.02407635454051048,0.048716831873675516,0.11797071792574221,0.0047567345185009205,0.08966360307656272,-0.029650505461218935,-0.03667677590576824,0.29332500278944557,0.026868460884649906,0.009258886360808027,0.009835851969097795,0.02055111991732029,0.13167685142293759
ret_sq_lag1,-0.14160825846423758,-0.12955078088180863,-0.14680809296859534,-0.13899812766395678,0.2203600147501087,0.020876770675406334,-0.12843229042341323,-0.1133098008369986,0.01597105378881752,-0.13413583143956728,-0.0796325009520291,-0.027183100898397435,-0.06847464855059708,0.27983058802892685,-0.08596930034209166,0.36584462638279486,0.47302146411871604,0.34885142441055733,1.0,0.6432689361281411,0.34095656727356594,0.5004175135460681,1.0,0.017458952799720606,0.47541398379565786,0.34201530607563313,-0.04237752909250606,0.061168520679126995,0.02150232018401161,-0.030927523793019475,0.012878738293977105,-0.0027516064974133156,0.024881981143487643,0.07198717067019922,-0.020563548938250683,-0.007554133615788855,-0.026941089326241726,0.1595982406289518,0.06423304053180372,0.00730522915387069,0.008123076471672826,0.03245350781984186,-0.026607220722479587
sign_lag1,0.051948372075443755,0.05381064936062187,0.05373618557546157,0.053376993419561376,0.03900908357512944,0.019950513485511214,0.00913068082385508,0.007592359654972948,-0.030187246750291236,0.24008307554051264,0.2282464887922026,0.2801643127658805,0.2812807039171914,-0.0072739722442637265,0.18853862626735715,-0.055738059913391876,0.0076526428164636,-0.017835857469384122,0.017458952799720606,-0.004841005067098158,-0.028355725958562478,-0.00279142464381138,0.017458952799720606,1.0,-0.001972179093787421,-0.019306895205337654,0.3356569999524631,0.03286185117265936,-0.002375497179729817,0.05581110182640789,0.01924730121529348,0.027960257263109804,0.01118476988318714,-0.03935148095394484,0.00464415484062156,0.014371681412522475,-0.03608534038648729,-0.009812098373004305,-0.03243103076103356,-0.027687025047957007,-0.020353194972245334,0.02618113660734151,0.02344860305806656
ret_abs_ma5,-0.278374874661092,-0.25826213335884496,-0.29743517442035805,-0.27619373782660966,0.41903463540729263,-0.007414275693718856,-0.259379590559991,-0.23763409999497992,0.045438703002700184,-0.23103861456897415,-0.16625295476057478,-0.0688164130901147,-0.11404183941404562,0.6738459656981246,-0.0978151390023728,0.7185624047365734,0.9563358305577361,0.7098343349943236,0.47541398379565786,0.7704737117329176,0.5795175483100963,0.697205819468465,0.47541398379565786,-0.001972179093787421,1.0,0.7341222336223598,-0.08387911999263765,0.13003137216642477,0.04764792679668066,-0.012668477494360408,-0.019829022416480248,0.013554682570311368,0.09209542814678652,0.005254884723384632,0.003916399505538279,-0.03505306433319108,-0.06955821258971365,0.2986999713157486,0.005992029357660427,0.0198480195984248,0.013352239775810135,0.012580336225929016,0.07965402874341987
ret_abs_ma20,-0.36129585546969734,-0.3472355055242186,-0.37603037326176253,-0.36188856218706317,0.2860042012914326,-0.024681242563681833,-0.34602364909134586,-0.31643538444212044,0.02437302115321155,-0.20336831255085258,-0.16872861683642953,-0.040362421499662814,-0.08582581565427677,0.8205349515779408,0.07239074439455286,0.8989206961219566,0.7145179635209341,0.9849717140764819,0.34201530607563313,0.623979098283028,0.8823210097549621,0.4948261348688932,0.34201530607563313,-0.019306895205337654,0.7341222336223598,1.0,-0.06808489501405583,0.18770793828970414,0.005549463515408337,-0.010170934008937475,-0.012082312036851114,-0.0007618535262568258,0.043049279871983336,0.005867876578347139,0.021816731443197797,-0.07371119151353821,0.00945569715683407,0.44813101057648597,-0.0665591204103143,0.05910397005827566,0.045887830888039945,-0.059805018080287146,0.07400117127080541
OBV_z,0.05593221087047471,0.06686240285083604,0.07246333468015295,0.07968994019966374,-0.012488862784467253,0.34068603902951683,-0.06153238219673366,-0.11088747124767395,-0.1998504120662341,0.7545594743351797,0.7774441426576588,0.7936925561423817,0.8586840728274294,0.018153910020198442,0.6229590689412555,-0.1933955342721931,-0.06167021235700041,-0.058449051149732034,-0.04237752909250606,-0.06952883530869956,-0.06537702094723132,-0.07571529306604033,-0.04237752909250606,0.3356569999524631,-0.08387911999263765,-0.06808489501405583,1.0,0.1488701618996367,-0.01688389740407153,0.009353145641784823,0.01257816521419098,-0.0007896855258141194,0.0175012720320763,-0.021234332761273227,0.011675028539648401,0.06941726336649645,-0.12076371396749926,-0.025215968210905743,0.022166298207329904,0.024905382712500253,0.02207276653858523,-0.026170326590075895,0.07373743818853869
month_sin,0.04205254307907789,0.04850156814321683,0.038894767393959084,0.0442499153617419,-0.023665216732821584,0.013204660077471484,0.016869892738289424,-0.023671501550676873,-0.04643799915124686,0.040418757603073084,0.17465295264932934,0.15463949156219906,0.17627351709594521,0.13469183316522026,0.06620834570788517,0.1728231233697741,0.10513283328910977,0.15378679413010593,0.061168520679126995,0.11028572292075017,0.16734350483608243,0.08746832901534002,0.061168520679126995,0.03286185117265936,0.13003137216642477,0.18770793828970414,0.1488701618996367,1.0,0.026792050951379334,-0.0009480207625448996,-0.0012962316087577655,0.007626798507029937,0.01286093113724101,0.0006003241993286009,0.39757216763262754,-0.22174135027108183,-0.3393523434908344,-0.15351175141802426,0.09834351789289932,-0.03333356800187516,-0.038873722872878276,0.0747553550058572,0.06843319037882521
month_cos,-0.07892958955763256,-0.07477507902755133,-0.08001428041739972,-0.07783533483921776,0.15129722667374923,-0.007763545451929785,-0.08129650219835236,-0.07259487267969204,0.12664032776180262,-0.06143626301440169,-0.09256651039237936,-0.06602409666636501,-0.020302580270088324,0.05404384228382722,-0.030887740976260274,-0.05941302534338915,0.03559737438281913,-0.015288824743440243,0.02150232018401161,0.005958662256849211,-0.04539949009289024,0.016285396766459997,0.02150232018401161,-0.002375497179729817,0.04764792679668066,0.005549463515408337,-0.01688389740407153,0.026792050951379334,1.0,0.013804393451727685,0.01836928643094701,-0.020718741127752478,-0.05021187716194181,-0.012984637961682265,-0.009905169108201684,-0.3784774516564949,0.17690936538712143,-0.09092147471820565,0.038320558874527545,-0.03350572563407825,-0.027409390255360575,0.026451772267374773,-0.0691748134699648
dow_sin,0.009605743041235145,0.010098967248237646,0.010160427677880926,0.00960466839721763,0.02056468904302453,0.025521080849433928,0.010409012094819219,0.010316390783244738,0.012018913465453796,0.006911093188981924,0.008868972534285618,0.018609805136105287,0.017123332867136007,-0.007351492231844303,-0.0036760829064669425,-0.013528204999794255,-0.012363649887742084,-0.008161478495052962,-0.030927523793019475,-0.013193881799394735,-0.007053423261884664,-0.010141166737060251,-0.030927523793019475,0.05581110182640789,-0.012668477494360408,-0.010170934008937475,0.009353145641784823,-0.0009480207625448996,0.013804393451727685,1.0,0.0016591459167013302,0.004584791839074226,-0.042121288423156725,-0.6726410925785975,0.0017940145936400594,-0.002676660240037758,0.0018306294668517056,-0.011383105479214391,0.07583914493586175,-0.026441982159493397,-0.03838327869115411,0.033518273900014356,0.03209233967033339
